Article_ID,Coords_Ref,Coords_Impact
SASGVNCH,"1.476681812183916, 2.09107755000143
1.4310112406730733, 2.0961520579470796
1.243254446684053, 2.5325597412729106
1.2026583831188593, 2.552857773055507
2.2277089881399967, 2.938520376924846
2.1617403848465573, 3.1313516788595153
","2.1109953053900656, 2.0707795182188335
1.9587600670205896, 2.0403324705449384
1.963834574966239, 1.933767803686305
1.9283130193466944, 1.8830227242298132
1.3599681294339845, 2.0251089467079906
1.3041485420318433, 2.086003042055781
0.6495370170430971, 1.8525756765559178
0.3856626038693389, 1.801830597099426
0.5886429216953067, 1.6394463428386519
0.6038664455322543, 1.6089992951647565
1.6136935267164443, 2.776136122664072
1.7811522889228677, 2.6746459637510878
2.1921874325204525, 3.04001053583783
2.2936775914334366, 2.994339964326987
2.486508893368106, 3.2277673298268503
3.983488737334619, 2.1773441850774664
"
AIBPL5SZ,"2.9308408809563185, 4.028629053410067
2.4136336666699094, 4.557329761347285
2.6320100460352824, 5.1779784184909765
2.8963604000038914, 5.660705151824958
3.6894114619097187, 1.5575279184861124
","4.551423485720401, 4.971095532776412
3.67791796825891, 4.5228492803948575
4.666358422228492, 6.189405859762176
2.7929189571466093, 6.982456921668003
1.7125305539705546, 5.419341785157967
"
APELM375,"31.4057, 34.3276
31.5557, 34.4102
32.2367, 34.5153","31.3795, 34.3096
31.5648, 34.4126
32.2791, 34.5298"
DIYYD78E,"6.890243902439018, 8.037809249060226
5.951219512195117, 6.452443395401691
3.951219512195118, 5.684150712474861
1.9878048780487785, 4.135370224669985
3.9878048780487765, 1.001223883206573
","7.865853658536577, 6.47683363930413
5.914634146341458, 5.696345834426082
5.926829268292677, 4.147565346621204
5.914634146341458, 2.5865897368651085
1.9634146341463397, 1.7817116880846222
"
YIRBGD9Z,"4.738226244683915, 7.728799005831824
3.715333730322871, 6.788208188028565
2.974618461302805, 2.68488074536185
5.714089218154795, 0.8742434210905772
","5.737603988599877, 5.024600404647456
3.926966664328604, 6.576575254022832
3.5624877224298412, 4.366186832185175
1.1169515961413694, 4.989328248979834
"
SI6ND7V3,"17.449532596757546, 27.881179941570913
26.857563725732245, 27.77606227532539
24.807769233944462, 25.831385449783134
24.22962206959406, 25.831385449783134
26.016622395768028, 26.724885612870114
26.4896518938729, 27.25047394409775
","18.395591592967293, 28.774680104657897
23.17844540713879, 30.61423926395463
17.029061931775434, 27.98629760781644
24.07194557022577, 25.778826616660368
26.279416561381847, 27.35559161034328
"
UCYG82VW,"4.370689655172413, 1.941604351986391
4, 1.7433284899174255
5.120689655172413, 5.415742283020873
3.3706896551724137, 5.864018145089839
8.094827586206897, 5.415742283020873
8.267241379310345, 5.096776765779494
","5.267241379310344, 2.036431938193288
3.310344827586207, 0.25194917957259766
4.698275862068965, 5.614018145089839
4.086206896551723, 5.786431938193287
7.724137931034482, 5.57953538646915
"
L4LKFMP4,"3.0311581059204507, 3.8905383703399647
2.8345424449958805, 1.236226947858272
10.387860752181435, 3.071306449820924
","8.831320103195258, 3.1368450034624473
4.980930076755768, 3.9724615623918687
4.83346833106234, 1.301765501499797
"
TJ6ZTJ7Y,"1.4453928318457716, 1.2407665664328789
1.3426093415811835, 1.1808095304452022
","1.3169134690150366, 0.7482623422483936
1.4539581227011542, 0.8510458325129818
1.4989258996919115, 1.0523301676144672
1.4925019315503745, 0.73541440596532
"
YFS34I88,"25.236842105263158, 13.162290405216583
23.92105263157895, 13.004395668374476
12.210526315789473, 4.84650093153237
11.76315789473684, 4.978079878900791
12.394736842105262, 4.1096588262692135
11.894736842105262, 4.0570272473218445
11.736842105263156, 3.8201851420586856
11.473684210526315, 3.688606194690264
11.18421052631579, 3.583343036795529
10.447368421052632, 3.3728167210060542
9.68421052631579, 4.872816721006054
7.184210526315789, 4.399132510479739
6.868421052631578, 4.478079878900791
6.552631578947369, 4.741237773637633
5.7631578947368425, 4.6096588262692135
","22.86842105263158, 12.504395668374473
22.710526315789473, 12.425448299953423
22.57894736842105, 12.372816721006055
26.18421052631579, 13.109658826269213
26.499999999999996, 13.135974615742898
16.289473684210524, 10.504395668374475
15.815789473684209, 10.109658826269213
15.473684210526315, 9.451764089427108
14.815789473684209, 9.451764089427108
14.5, 9.451764089427108
"
CQV48HYK,"97,46666666666667; 96,89664429530201
88,26666666666667; 108,89664429530201
106,13333333333333; 108,09664429530199","45,333333333333336; 38,76331096196868
30,666666666666664; 50,09664429530201
14,933333333333332; 41,42997762863534"
NNT9LEBX,"
2.2546196573905024, 5.413677341312275
0.9845172503938526, 3.7753203902751777
0.7440244869388658, 1.994170860936681
2.540204813993299, 3.7001664016954945
3.48714507009731, 2.550310376426338
6.132565468102166, 3.6851356039795578
6.508335411000583, 4.474252484066233
4.922586251969263, 4.376552298912645
6.079957676096388, 2.324848410687288
4.193592562746334, 1.8588936814932506
","5.734249328629844, 4.361521501196709
5.102955824560503, 3.5799200199680006
4.148500169598524, 5.022876600697923
3.3443524917959118, 4.71474524752122
1.149856025269156, 5.323492555016656
1.638356951037098, 3.4371274416666022
0.8342092732344859, 2.8659571284610084
2.0817654836572306, 2.5052179832785284
5.0728942291286305, 1.3403311602934351
5.463694969742984, 2.655525960437895
"
DHJQD6EY,"3.7761836921707417, 4.485641563852401
4.052925286632427, 4.583840194145258
","3.7940379885876245, 4.512423008477726
3.9904352491733373, 4.494568712060842
"
HVAKSTS5,"-9.39534622170617,39.3536814744809
-9.39417645772746,39.3530353887531
-9.39278388156234,39.3527769527892
-9.3891074804864,39.3529061708906
-9.38782631041448,39.3524323700169
-9.38637803120275,39.3524323700169
17.9666308557695,40.1525111688897
17.9717694618188,40.1513616192809
17.9746520944806,40.1484876601334
17.9178140983009,40.2280513518604
17.9138034789453,40.2298215633057
17.9105448507189,40.2325485552636","17.9268379918509,40.1840682825738
17.930347283787,40.182057493042
17.9336059120134,40.1792805904706
-9.40547025042665,39.3578539675818
-9.40432659725104,39.3571513910303
-9.40319861055728,39.3564851481181"
RMMHDEYS,"16.39124359571495, -12.149307172799253
18.119236143455986, -13.432958779692592
","21.328365160689334, 9.425914066138796
19.699115044247787, 9.277800419189566
19.254774103400095, 5.574959245458779
"
