Key2,TP,FK,Author,Publication Year
K001_2577IBYH,n,N,"Hauri, C; Doney, SC; Takahashi, T; Erickson, M; Jiang, G; Ducklow, HW",2015
K002_25I6584C,y,Y,"Castro-Gutierrez, V; Fuller, E; Thomas, JC; Sinclair, CJ; Johnson, S; Helgason, T; Moir, JWB",2020
K003_2R2VUL3Z,n,N,"Bi, YL; Guo, Y; Sun, H",2021
K004_2VRFNWID,y,Y,"Castillo, AM; Chavarria, KA; Saltonstall, K; Arias, CF; Mejia, LC; De Leon, LF",NA
K005_33ZP5PPX,n,N,"Morella, NM; Weng, FCH; Joubert, PM; Metcalf, CJE; Lindow, S; Koskella, B",2020
K006_39MAFDWE,y,Y,"Korbel, KL; Greenfield, P; Hose, GC",2022
K007_3I455RDQ,y,Y,"Zhao, RX; Symonds, JE; Walker, SP; Steiner, K; Carter, CG; Bowman, JP; Nowak, BF",2021
K008_3K5LJA2I,n,N,"Sudeep, C; Ankit, S; Singh, CP; Nautiyal, MC; Rawat, LS",2018
K009_3PPSVKRC,n,N,"Mottaghi, A; Shimomura, M; Wee, HB; Reimer, JD",2017
K010_48W8TEC4,n,N,"Jacob, LL; Prudente, BS; Montag, LFA; Silva, RR",2021
K011_4REECAV2,n,N,"O'Donnell, MJ; Todgham, AE; Sewell, MA; Hammond, LM; Ruggiero, K; Fangue, NA; Zippay, ML; Hofmann, GE",2010
K012_4SW9H88I,y,Y,"Steel, AE; Peek, RA; Lusardi, RA; Yarnell, SM",2018
K013_4U9Z78J2,y,Y,"Urra, J; Ayala, JM; McConnico, LA; Mendez, C; Valdes, LAM; Pleites, A; Riosmena-Rodriguez, R",2018
K014_54SXUWF6,n,N,"Osunkoya, OO; Froese, JG; Nicol, S; Perrett, C; Moore, K; Callander, J; Campbell, S",2019
K015_5AELX58F,n,N,"Harrison, S; Damschen, EI; Grace, JB",2010
K016_5C2AVJL5,y,Y,"Debano, SJ",2006
K017_5GFX7AK7,y,Y,"Atwell, RC; Schulte, LA; Palik, BJ",2008
K018_5JYNFXDL,y,Y,"Chen, ZW; Zhong, X; Zheng, MY; Liu, WS; Fei, YH; Ding, KB; Li, YY; Liu, Y; Chao, YQ; Tang, YT; Wang, SZ; Qiu, RL",NA
