Article_ID,Authors,Year,Title,Journal,Volume,Issue,Pages,DOI
FUUB9GCF,"Ren, LJ; He, D; Chen, Z; Jeppesen, E; Lauridsen, TL; Sondergaard, M; Liu, ZW; Wu, QL",2017,Warming and nutrient enrichment in combination increase stochasticity and beta diversity of bacterioplankton assemblages across freshwater mesocosms,ISME JOURNAL,11,3,613-625,10/f9g9gx
CBLMGH6Z,"Brejao, GL; Teresa, FB; Gerhard, P",2020,When roads cross streams: fish assemblage responses to fluvial fragmentation in lowland Amazonian streams,NEOTROPICAL ICHTHYOLOGY,18,3,NA,10.1590/1982-0224-2020-0031
VMVZ2BW3,"D'Alessandro, M; Nasi, F; Ferrante, L; Giacobbe, S",2021,What ecological and functional changes follow the positioning of an artificial barrier? Answers from a 4-year investigation on soft bottom benthic communities,HYDROBIOLOGIA,848,20,4815-4835,10.1007/s10750-021-04675-x
KPFZHUI2,"Hopping, KA; Knapp, AK; Dorji, T; Klein, JA",2018,Warming and land use change concurrently erode ecosystem services in Tibet,GLOBAL CHANGE BIOLOGY,24,11,5534-5548,10.1111/gcb.14417
52QNM63J,"Freixa, A; Acuna, V; Casellas, M; Pecheva, S; Romani, AM",2017,Warmer night-time temperature promotes microbial heterotrophic activity and modifies stream sediment community,GLOBAL CHANGE BIOLOGY,23,9,3825-3837,10.1111/gcb.13664
FTHVH3H4,"Bonebrake, TC; Pickett, EJ; Tsang, TPN; Tak, CY; Vu, MQ; Vu, LV",2016,Warming threat compounds habitat degradation impacts on a tropical butterfly community in Vietnam,GLOBAL ECOLOGY AND CONSERVATION,8,NA,203-211,10.1016/j.gecco.2016.09.003
2TN6YGUV,"Castro, N; Ramalhosa, P; Cacabelos, E; Costa, JL; Canning-Clode, J; Gestoso, I",2021,Winners and losers: prevalence of non-indigenous species under simulated marine heatwaves and high propagule pressure,MARINE ECOLOGY PROGRESS SERIES,668,NA,21-38,10.3354/meps13710
MZ7RAEWI,"Macaulay, SJ; Hageman, KJ; Piggott, JJ; Juvigny-Khenafou, NPD; Matthaei, CD",2021,Warming and imidacloprid pulses determine macroinvertebrate community dynamics in experimental streams,GLOBAL CHANGE BIOLOGY,27,21,5469-5490,10.1111/gcb.15856
JRNV6794,"Medrano, MV; Lougheed, VL",2021,What is the impact of urban development and thermokarsting on arctic tundra pond zooplankton communities?,POLAR BIOLOGY,44,6,1163-1174,10.1007/s00300-021-02866-9
CLUSVRML,"Collier, KJ",2014,"Wood decay rates and macroinvertebrate community structure along contrasting human pressure gradients ( Waikato, New Zealand)",NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,48,1,97-111,10.1080/00288330.2013.847470
UMDCW442,"Patzig, M; Gruneberg, B; Brauns, M",2015,Water depth but not season mediates the effects of human lakeshore modification on littoral macroinvertebrates in a large lowland lake,FUNDAMENTAL AND APPLIED LIMNOLOGY,186,4,311-321,10.1127/fal/2015/0652
ZFSC2ELR,"Gomez, P; Gurevitch, J",1998,Weed community responses in a corn-soybean intercrop,APPLIED VEGETATION SCIENCE,1,2,281-288,10.2307/1478958
LB6D8IA9,"Josue, IIP; Sodre, EO; Setubal, RB; Cardoso, SJ; Roland, F; Figueiredo-Barros, MP; Bozelli, RL",2021,Zooplankton functional diversity as an indicator of a long-term aquatic restoration in an Amazonian lake,RESTORATION ECOLOGY,29,5,NA,10.1111/rec.13365
4R5PRZ2N,"Woch, MW; Stefanowicz, AM; Stanek, M",2017,Waste heaps left by historical Zn-Pb ore mining are hotspots of species diversity of beech forest understory vegetation,SCIENCE OF THE TOTAL ENVIRONMENT,599,NA,32-41,10.1016/j.scitotenv.2017.04.197
L7BIHVGB,"Cao, JL; Lin, TC; Yang, ZJ; Zheng, Y; Xie, L; Xiong, DC; Yang, YS",2020,Warming exerts a stronger effect than nitrogen addition on the soil arbuscular mycorrhizal fungal community in a young subtropical Cunninghamia lanceolata plantation,GEODERMA,367,NA,NA,10.1016/j.geoderma.2020.114273
4KG8JPNS,"Stenchly, K; Lippmann, S; Waongo, A; Nyarko, G; Buerkert, A",2017,Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,237,NA,213-223,10.1016/j.agee.2016.12.028
HPETLUA7,"Hao, BB; Wu, HP; Zhen, W; Jo, H; Cai, YP; Jeppesen, E; Li, W",2020,Warming Effects on Periphyton Community and Abundance in Different Seasons Are Influenced by Nutrient State and Plant Type: A Shallow Lake Mesocosm Study,FRONTIERS IN PLANT SCIENCE,11,NA,NA,10.3389/fpls.2020.00404
6UJXMIK7,"Schlacher, TA; de Jager, R; Nielsen, T",2011,Vegetation and ghost crabs in coastal dunes as indicators of putative stressors from tourism,ECOLOGICAL INDICATORS,11,2,284-294,10.1016/j.ecolind.2010.05.006
2ZQJWWWL,"Wang, SY; Sudduth, EB; Wallenstein, MD; Wright, JP; Bernhardt, ES",2011,Watershed Urbanization Alters the Composition and Function of Stream Bacterial Communities,PLOS ONE,6,8,NA,10.1371/journal.pone.0022972
J3UCZQKF,"Tamminen, M; Spaak, J; Tlili, A; Eggen, R; Stamm, C; Rasanen, K",2022,Wastewater constituents impact biofilm microbial community in receiving streams,SCIENCE OF THE TOTAL ENVIRONMENT,807,NA,NA,10.1016/j.scitotenv.2021.151080
6XJJ6M46,"Wolf, ID; Hagenloh, G; Croft, DB",2013,Vegetation moderates impacts of tourism usage on bird communities along roads and hiking trails,JOURNAL OF ENVIRONMENTAL MANAGEMENT,129,NA,224-234,10.1016/j.jenvman.2013.07.017
YKSB6TUA,"Castillo, LE; Martinez, E; Ruepert, C; Savage, C; Gilek, M; Pinnock, M; Solis, E",2006,"Water quality and macroinvertebrate community response following pesticide applications in a banana plantation, Limon, Costa Rica",SCIENCE OF THE TOTAL ENVIRONMENT,367,1,418-432,10.1016/j.scitotenv.2006.02.052
9JJKTP6N,"Hoffmann, BD; Saul, WC",2010,Yellow crazy ant (Anoplolepis gracilipes) invasions within undisturbed mainland Australian habitats: no support for biotic resistance hypothesis,BIOLOGICAL INVASIONS,12,9,3093-3108,10.1007/s10530-010-9701-3
QJW2YZU9,"Vaccaro, AS; Filloy, J; Bellocq, MI",2019,What land use better preserves taxonomic and functional diversity of birds in a grassland biome?,AVIAN CONSERVATION AND ECOLOGY,14,1,NA,10.5751/ACE-01293-140101
RDC2XFFS,"Ruiz-Gonzalez, C; Salazar, G; Logares, R; Proia, L; SergiSabater, JMG; Sabater, S",2015,Weak Coherence in Abundance Patterns Between Bacterial Classes and Their Constituent OTUs Along a Regulated River,FRONTIERS IN MICROBIOLOGY,6,NA,NA,10.3389/fmicb.2015.01293
63SW6XQ8,"Jani, K; Dhotre, D; Bandal, J; Shouche, Y; Suryavanshi, M; Rale, V; Sharma, A",2018,"World's Largest Mass Bathing Event Influences the Bacterial Communities of Godavari, a Holy River of India",MICROBIAL ECOLOGY,76,3,706-718,10.1007/s00248-018-1169-1
ZECZP3CX,"Habtewold, JZ; Helgason, BL; Yanni, SF; Janzen, HH; Ellert, BH; Gregorich, EG",2021,Warming effects on the structure of bacterial and fungal communities in diverse soils,APPLIED SOIL ECOLOGY,163,NA,NA,10.1016/j.apsoil.2021.103973
HI9KIKZC,"Coetzee, JA; Jones, RW; Hill, MP",2014,"Water hyacinth, Eichhornia crassipes (Pontederiaceae), reduces benthic macroinvertebrate diversity in a protected subtropical lake in South Africa",BIODIVERSITY AND CONSERVATION,23,5,1319-1330,10.1007/s10531-014-0667-9
ZUQ4BQUN,"Michaels, JS; Tate, KW; Eviner, VT",2022,"Vernal pool wetlands respond to livestock grazing, exclusion and reintroduction",JOURNAL OF APPLIED ECOLOGY,59,1,67-78,10.1111/1365-2664.14001
7HAZZWHB,"Colleony, A; Shwartz, A",2020,When the winners are the losers: Invasive alien bird species outcompete the native winners in the biotic homogenization process,BIOLOGICAL CONSERVATION,241,NA,NA,10.1016/j.biocon.2019.108314
PT53DW5R,"Purvis, EEN; Vickruck, JL; Best, LR; Devries, JH; Galpern, P",2020,Wild bee community recovery in restored grassland-wetland complexes of prairie North America,BIOLOGICAL CONSERVATION,252,NA,NA,10.1016/j.biocon.2020.108829
9BLLPDXK,"Nie, J; Yin, LC; Liao, YL; Zheng, SX; Xie, J",2009,Weed Community Composition after 26 Years of Fertilization of Late Rice,WEED SCIENCE,57,3,256-260,10.1614/WS-08-106.1
B7YVZZCY,"Du, JJ; Zhou, QX; Wu, JH; Li, GF; Li, GQ; Wu, YN",2020,Vegetation alleviate the negative effects of graphene oxide on benzo [a]pyrene dissipation and the associated soil bacterial community,CHEMOSPHERE,253,NA,NA,10.1016/j.chemosphere.2020.126725
